,timestamp,open,high,low,close,volume
0,2020-12-31 16:00:00,736.0,736.97,724.48,727.3,45192.35523
1,2020-12-31 17:00:00,727.26,743.0,726.59,737.2,41547.83481
2,2020-12-31 18:00:00,737.2,740.96,735.28,739.87,18794.08202
3,2020-12-31 19:00:00,739.88,742.0,737.36,738.83,14810.28022
4,2020-12-31 20:00:00,738.76,744.5,737.61,743.96,14700.26345
5,2020-12-31 21:00:00,743.96,745.0,736.52,738.24,18490.32151
6,2020-12-31 22:00:00,738.23,742.5,735.88,740.48,11375.6051
7,2020-12-31 23:00:00,740.46,741.7,731.83,736.42,19450.08215
8,2021-01-01 00:00:00,736.42,739.0,729.33,734.07,27932.69884
9,2021-01-01 01:00:00,734.08,749.0,733.37,748.28,52336.18779
10,2021-01-01 02:00:00,748.27,749.0,742.27,744.06,33019.501
11,2021-01-01 03:00:00,744.06,747.23,743.1,744.82,17604.80859
12,2021-01-01 04:00:00,744.87,747.09,739.3,742.29,18794.15424
13,2021-01-01 05:00:00,742.34,743.23,739.5,740.65,14948.26447
14,2021-01-01 06:00:00,740.72,743.25,737.04,739.97,17106.99495
15,2021-01-01 07:00:00,739.87,740.51,734.4,737.38,21624.68945
16,2021-01-01 08:00:00,737.37,738.48,725.1,730.07,52992.04892
17,2021-01-01 09:00:00,730.07,734.77,728.77,733.68,22836.46973
18,2021-01-01 10:00:00,733.69,738.87,733.27,736.81,22895.59711
19,2021-01-01 11:00:00,736.82,741.76,736.11,738.85,29384.09871
20,2021-01-01 12:00:00,738.85,743.33,732.12,733.19,50190.47228
21,2021-01-01 13:00:00,733.19,741.99,733.0,740.08,23543.56362
22,2021-01-01 14:00:00,740.08,742.67,736.46,738.0,22098.37395
23,2021-01-01 15:00:00,738.01,740.0,733.5,735.39,25671.61199
24,2021-01-01 16:00:00,735.39,737.73,733.01,735.83,22249.34205
25,2021-01-01 17:00:00,735.76,736.45,726.57,727.94,40914.26505
26,2021-01-01 18:00:00,727.94,731.8,714.29,724.6,66427.75355
27,2021-01-01 19:00:00,724.57,728.28,720.95,725.34,26866.35862
28,2021-01-01 20:00:00,725.34,730.71,722.5,729.48,22422.29118
29,2021-01-01 21:00:00,729.48,730.61,726.69,728.23,14582.15316
30,2021-01-01 22:00:00,728.23,731.97,725.65,728.9,14614.20353
31,2021-01-01 23:00:00,728.97,730.58,727.65,728.91,14058.19051
32,2021-01-02 00:00:00,728.91,730.66,716.26,719.9,46190.17553
33,2021-01-02 01:00:00,719.9,731.75,714.91,729.38,37985.46001
34,2021-01-02 02:00:00,729.39,734.4,729.05,729.44,21870.2522
35,2021-01-02 03:00:00,729.45,731.96,728.4,730.39,13138.56186
36,2021-01-02 04:00:00,730.39,730.67,726.26,729.45,13117.64933
37,2021-01-02 05:00:00,729.45,733.4,729.22,731.99,19342.91315
38,2021-01-02 06:00:00,731.99,740.49,730.53,737.04,41590.31856
39,2021-01-02 07:00:00,737.08,738.66,733.07,735.12,23887.39609
40,2021-01-02 08:00:00,735.12,738.35,728.21,733.84,32631.45363
41,2021-01-02 09:00:00,733.84,734.64,723.06,725.41,38970.42653
42,2021-01-02 10:00:00,725.24,733.93,723.01,728.47,34642.76548
43,2021-01-02 11:00:00,728.55,731.1,727.17,729.7,14020.08545
44,2021-01-02 12:00:00,729.7,757.0,728.25,752.38,134011.4756
45,2021-01-02 13:00:00,752.39,772.8,749.11,770.77,154115.10137
46,2021-01-02 14:00:00,770.77,771.28,753.0,760.94,88376.02018
47,2021-01-02 15:00:00,760.99,768.99,760.86,768.43,51945.86127
